"Data Source","World Development Indicators",

"Last Updated Date","2016-06-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Antigua and Barbuda","ATG","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1436129","3.92096985","3.93930715","3.92020732","3.96104693","4.12504853","4.48439049","4.41378705","4.53434099","4.20698542","4.41010035","4.34002161","4.26972324","4.69201433","4.86206202","5.6285144","5.64852918","5.38593825","5.33222783","5.54168311","",
"Australia","AUS","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.25973523","7.44304741","7.49922799","7.66270214","7.78975897","8.07814515","8.17867869","8.39043833","8.31845119","8.57432053","8.45389263","8.49118995","8.5306305","8.78349607","9.04605596","9.01527191","9.19934655","9.35738514","9.36373848","9.42230024","",
"Austria","AUT","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.54702427","9.52730055","9.8252159","9.99743397","10.18758732","10.06456722","10.11903601","10.27003327","10.48033992","10.55988254","10.53141508","10.35154773","10.40127692","10.60392998","11.19443731","11.16524816","10.93557307","11.16821981","11.1377909","11.20547328","",
"Azerbaijan","AZE","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.79187601","6.12391391","5.45197597","5.43466004","5.35714447","4.67081301","4.48244097","4.46710558","6.56328804","7.92454395","7.8639081","6.16806759","5.09525293","4.37406647","5.85024048","5.3336001","5.00932503","5.36689762","5.53755045","6.0368632","",
"Burundi","BDI","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3744822","4.49703909","4.11362695","4.50070122","4.39141864","4.97839061","4.96067407","5.15367588","5.24840706","7.10205754","9.83776739","11.49013252","10.02676743","7.85946357","6.96418727","8.82066864","8.57801472","8.20755375","8.03161378","7.53556539","",
"Belgium","BEL","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.61132513","7.91027712","7.76548243","7.88649843","8.07696011","8.12059728","8.29205205","8.46176755","9.30359795","9.32102699","9.24428757","9.17112797","9.25207442","9.59842645","10.39434014","10.16564067","10.42349563","10.53975001","10.57290301","10.5947509","",
"Benin","BEN","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.69268216","4.58649677","4.31179803","4.38570981","4.58684538","4.33873071","4.68672761","4.27443185","4.63066141","4.56185468","4.73384847","4.75046608","4.54583981","4.19564004","4.46430984","4.94824039","5.36875255","4.85686602","4.59205377","4.59429651","",
"Burkina Faso","BFA","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.90774616","5.13518327","5.12841993","5.26031651","5.26786301","5.05909906","4.85203751","5.26139343","5.60978869","6.45328338","6.87238586","6.57889926","6.62938957","6.76855996","7.40543097","7.17005016","5.16945672","5.32688534","5.91240213","4.96026323","",
"Bangladesh","BGD","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.22157662","2.96373618","2.25028592","2.25182094","2.29318008","2.32679549","2.46995061","2.59288743","2.51003846","2.61548602","2.67725039","2.79623022","2.79895606","2.84653391","2.90958368","3.06355993","3.155874","3.08120807","2.88285726","2.81899856","",
"Bulgaria","BGR","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.75327488","4.57258827","4.74160776","4.66878135","5.85566877","6.06955519","7.23446648","7.40609292","7.43475437","7.08595529","7.07978092","6.6734753","6.41034419","6.61156197","6.77819389","7.24456053","6.88297734","7.10569778","7.93021922","8.44291326","",
"Bahrain","BHR","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.11287292","4.03746857","4.34798137","4.31625384","4.18890934","3.50896583","3.79531921","3.89413936","3.73972896","3.36600777","3.15804988","3.07675509","3.07767478","3.16848651","3.786504","3.63764959","3.40195337","4.36591164","4.68637938","4.98079638","",
"Bahamas, The","BHS","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.8503937","6.91604323","5.55011883","5.58609619","5.23029011","5.20817529","5.14618628","5.25568411","5.6180021","6.02453452","5.95416502","6.93251788","7.07559268","7.3029743","7.4319201","7.43658423","7.63371738","7.43010401","7.04554853","7.74236489","",
"Bosnia and Herzegovina","BIH","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.02980068","10.22157282","8.12932882","8.14897906","8.90972456","7.08827392","7.16021767","7.01047901","7.9408288","9.0438333","8.49615182","8.28337432","8.37007608","8.58190329","9.64051655","9.57831611","9.71201831","9.9397549","9.46431161","9.57201597","",
"Belarus","BLR","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.74025354","6.23562466","6.59252515","5.95665774","6.16338326","6.12884845","6.62474592","6.47012421","6.58928033","6.58678934","6.88634578","6.33679804","6.43772703","5.94918995","6.08504113","5.55420409","4.92365904","5.00822363","6.07206556","5.68772158","",
"Belize","BLZ","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.24602899","3.63127017","3.92015182","3.79614802","3.66693481","3.97615331","4.50244268","4.37927042","4.5348229","4.39392269","4.45271318","4.40074319","4.76058357","5.09281839","5.80764478","5.84584806","5.60522062","5.45306037","5.79061965","5.78895004","",
"Bermuda","BMU","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.72938541","4.62820984","4.1695752","5.10001351","6.19650543","5.66983151","6.31154371","6.52937179","5.30411075","5.21561551","5.66626332","5.19483534","4.96364424","5.00221817","5.76173626","5.44301385","5.49176327","5.5569911","5.9649866","6.33482729","",
"Brazil","BRA","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.51076042","6.70694533","6.69245518","6.55967037","6.90990454","7.02774504","7.19063692","7.13005982","6.94296392","7.06793519","8.26702693","8.35570723","8.28058988","8.23798966","8.64909707","8.26736921","8.0901717","8.26089862","8.48312451","8.32283359","",
"Barbados","BRB","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.21222112","5.06553288","5.10668175","4.8775902","5.01105957","5.15515307","5.47182997","5.76189211","5.81503159","5.71254394","5.37770788","5.27479782","5.63907522","6.01496305","6.21396814","6.16899137","6.66975378","7.42925203","7.5687307","7.469303","",
"Brunei Darussalam","BRN","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.96502086","3.72384445","3.73573354","4.45519327","3.81591842","3.05392326","3.05915827","3.03624423","3.09075683","3.00570028","2.62469019","2.24345194","2.31773158","2.22944566","2.84871691","2.73321659","2.24592919","2.30071015","2.61249972","2.64816289","",
"Bhutan","BTN","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.97733171","6.31150093","7.3507957","7.23627296","6.93946877","6.91231672","5.91345001","7.75160507","4.9041054","4.40750213","5.28092275","5.26868823","5.87866065","6.57982434","6.02784218","5.17176159","4.73145771","3.70384573","3.82579516","3.57301481","",
"Botswana","BWA","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.07625751","4.03790507","4.29532105","3.85635148","3.74391572","4.64378253","5.72932944","6.47357061","4.64786115","5.55872796","5.62371187","4.92953585","4.71306526","5.55037104","6.38817073","5.64265217","5.24916763","6.27218857","5.83806784","5.41200262","",
"Central African Republic","CAF","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.60367411","4.49230966","3.58946373","3.74819755","4.07258453","4.23554071","3.94971705","4.16499024","4.30920674","4.10144818","4.29009912","3.98872906","4.04420573","4.30491314","3.57683853","3.89743425","3.73272849","3.62284672","3.82208893","4.20022213","",
"Canada","CAN","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.86134848","8.63665594","8.60408832","8.82742133","8.72990945","8.66856172","9.09586921","9.36996095","9.54031491","9.55593893","9.57259884","9.75077613","9.834884","10.0314672","11.17309256","11.20113293","10.82129629","10.77921223","10.66516682","10.449582","",
"Central Europe and the Baltics","CEB","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.83631913857481","5.98444695064853","5.83557680775205","5.96682664077025","6.05962651648029","5.97833950101616","6.15868428200736","6.45284467851742","6.69419491478746","6.68655632658131","6.68986261837837","6.55910794697965","6.5286224784608","6.83801718833924","7.34785455102186","7.18863614552729","6.98984911860736","6.9714422270387","6.87739294063463","6.84279212840358","",
"Switzerland","CHE","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.33430835","9.71518238","9.66982037","9.84654167","10.00292799","9.90805016","10.28167391","10.60657136","10.933913","10.96120293","10.86294204","10.38772207","10.20985654","10.2889506","11.00053859","11.07054472","11.21213823","11.58918948","11.70740988","11.65926872","",
"Channel Islands","CHI","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.15357961","5.65542143","5.77650605","6.23410258","6.39504662","6.39554049","6.50868916","6.47573804","7.33944363","6.93393245","6.69119625","6.18107636","6.34524532","6.8683536","7.39252832","6.96860594","7.00457914","7.23794642","7.5312947","7.78585767","",
"China","CHN","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.52548646","3.78557264","4.0245977","4.33385163","4.48787053","4.59690987","4.55782328","4.78507297","4.82123292","4.72284375","4.65846996","4.52241742","4.31833293","4.58905193","5.07535532","4.88633979","5.02886408","5.26451547","5.38570406","5.54822768","",
"Cote d'Ivoire","CIV","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.36900793","6.74057936","7.06619884","7.29820334","6.52167773","6.00117587","4.84648676","4.46676932","4.65208666","5.23740268","5.3896073","5.87099688","6.34588449","6.20550231","6.41352727","6.32384065","6.42052546","6.14322312","5.80954361","5.71627357","",
"Cameroon","CMR","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.86124181","5.16760946","4.64471655","4.42322257","4.43404241","4.47926062","4.70069873","4.86311777","4.97339975","4.73054345","4.75114245","4.68549975","4.75670352","5.17618655","5.06998858","5.28483734","3.96167517","4.33911457","4.29309731","4.10367158","",
"Congo, Rep.","COG","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.16306069","2.86291491","3.09868108","3.73837716","3.06500203","2.12504959","2.43633674","2.45276459","2.61050747","2.55529589","2.42171832","2.3727083","2.53770363","2.08514176","2.26558576","2.29284845","2.79015169","3.97634646","5.09464112","5.15141136","",
"Colombia","COL","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.75685008","8.16065798","8.95554088","8.72644655","8.67188966","5.90658511","5.96000372","5.66898945","5.92269295","5.37077635","5.8158366","6.1117047","6.25336641","6.61993597","7.01240715","6.75752454","6.63578902","6.93347013","6.8432","7.20129855","",
"Comoros","COM","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.61334969","4.48025047","4.49258244","4.04421255","3.8681088","3.55560015","2.85941954","3.38792052","3.64985651","3.95907616","4.31649402","4.57135897","4.93045333","5.13058242","3.8159446","5.82480352","6.09705013","7.10723668","6.50938357","6.74764314","",
"Cabo Verde","CPV","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.28728442","4.82373976","4.73245519","5.23817847","4.64854913","4.81197137","5.18842561","5.17292778","4.99736722","5.06127652","4.85837167","5.11488034","4.30181632","3.96261016","4.24249163","4.8314955","4.5981957","4.60767994","4.29340629","4.75969597","",
"Costa Rica","CRI","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.51231532","6.65078699","6.35054774","7.13212144","6.83088785","7.12411021","7.24688126","8.22565685","8.44923734","7.79839004","7.73973795","7.8231858","8.36985934","9.00515369","9.68658882","9.65747228","9.72939981","9.55968402","9.4665247","9.31311229","",
"Caribbean small states","CSS","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.24688671682619","5.31668203867305","5.55623196444114","5.30403798433441","5.13348183746768","5.19354917599596","5.12010718332031","5.1680289073364","5.18384451190201","5.31396386391029","5.12170052176503","4.99527083596903","5.34144885548665","5.34183115989254","6.21357943499336","5.78821743717297","5.71650435046833","6.1641076987119","6.08872305935231","6.00956930109095","",
"Cuba","CUB","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.15194347","5.2563626","5.49944414","5.76999293","6.00381452","6.0657218","6.27017609","6.49530818","6.31477793","6.13763913","9.39424353","7.67119625","10.41968483","10.79330726","11.78167488","10.19428176","10.59691898","8.59069933","9.48202921","11.05880043","",
"Curacao","CUW","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.73555051","5.20546815","5.53045023","5.58342922","5.59747051","5.76878621","5.78263528","6.1236131","6.83046446","6.41800628","6.3690867","6.27810151","6.05253416","6.89217292","7.40220132","7.2339653","7.53731961","7.43887767","7.45866684","7.36761162","",
"Czech Republic","CZE","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.6939823","6.4112513","6.40105384","6.41802925","6.34893158","6.31376242","6.42218784","6.79738309","7.13181689","6.90346859","6.93394326","6.69370303","6.522339","6.81889577","7.84539515","7.4318989","7.50106056","7.54794135","7.48649513","7.41091154","",
"Germany","DEU","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.43119261","9.91390845","10.03394379","10.04933602","10.04867111","10.10314295","10.15409317","10.39990223","10.61578862","10.37086787","10.51754561","10.34100073","10.1804053","10.39246762","11.40325491","11.25156004","10.93273699","10.99191973","11.16480314","11.29700067","",
"Djibouti","DJI","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.95089843","3.97202354","4.598152","5.45433438","6.21829622","5.75373964","5.37254273","5.44853384","6.2210856","6.7637107","7.21478463","7.05121762","7.72082465","8.04957964","8.37116146","8.84146484","8.71121911","8.94711732","9.13982602","10.56825612","",
"Dominica","DMA","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.85107017","5.86916299","5.99052114","5.7401763","5.7772693","4.67680993","4.61495217","4.71101985","4.58840093","4.31835019","4.5907974","4.54040177","4.66781159","4.54347143","5.259277","5.71976867","5.63311849","5.35510714","5.58003918","5.48583257","",
"Denmark","DNK","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.12529118","8.21149933","8.15091135","8.15613412","8.95363968","8.69908954","9.10017962","9.33288751","9.50939145","9.67486939","9.7699606","9.92431629","9.98729401","10.18303034","11.47219769","11.08183797","10.86554541","10.9838191","11.24700751","10.80495696","",
"Dominican Republic","DOM","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2103532","5.01460052","5.26953146","5.44041106","5.66399715","5.90216851","5.59412454","5.78862837","5.53403296","4.28073586","4.26151651","4.34435286","4.34354051","4.19632994","4.41085261","4.06246968","4.21893383","4.26412797","4.11902833","4.37577756","",
"Algeria","DZA","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.70152453","3.34906968","3.59465773","3.59408178","3.43391495","3.48902094","3.83786516","3.73006375","3.60102674","3.54406326","3.23516801","3.35511843","3.82141191","4.20191141","5.35942501","5.11715468","5.29292834","6.14311272","7.12438268","7.20717804","",
"East Asia & Pacific (developing only)","EAP","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.31322762506638","3.51753370418143","3.68160933442524","4.05081236791254","4.10338481604102","4.14316578623912","4.19587675795065","4.39197696077111","4.49178339616339","4.40407743696512","4.41399555251367","4.34667941303683","4.25660197610044","4.44429483215854","4.8811971199253","4.67855354525245","4.80584552975824","5.03693098065804","5.17080364658747","5.33272791203633","",
"East Asia & Pacific (all income levels)","EAS","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.83957846857637","5.68021012632934","5.82175683527854","6.14599886572002","6.37102128180346","6.48438492970107","6.54882614429135","6.55970117255837","6.67903708148342","6.65806202355966","6.64743945928414","6.49346868781126","6.31946191161991","6.50826304358705","7.04686194616253","6.88004124963622","7.00031890999969","7.07798608042951","6.92376832342329","6.90324410891525","",
"Europe & Central Asia (developing only)","ECA","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.16827347427374","4.33314724654882","4.58451978250045","4.44038318802443","5.08791035829401","5.1005352239599","5.29585819153928","5.5568847286431","5.73255902274355","5.74843860814572","5.77216419392857","5.81186356402525","5.87940734161043","5.92890567253153","6.18178477375365","5.9267129881425","5.56019961373612","5.63875567338008","5.76542504897544","5.70548342128007","",
"Europe & Central Asia (all income levels)","ECS","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.11722674035194","8.24504373597236","8.20485286966457","8.19562625658274","8.29783010179603","8.23900089767042","8.44166958933223","8.67886575960591","8.8788111327036","8.84595274232089","8.9188228409193","8.81587042625645","8.71175650845504","8.97423695067788","9.81853709394088","9.56434183758316","9.45498712024916","9.49560911643016","9.54445958564171","9.54482418469798","",
"Ecuador","ECU","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.39863636","3.7410135","3.71706789","3.57834839","3.80909529","3.3786467","3.85795035","4.61526692","6.46381498","6.21729056","5.87295184","5.85722282","5.93693781","5.66029931","5.57500385","5.9021487","5.9151677","6.47936086","7.28688971","9.16108824","",
"Egypt, Arab Rep.","EGY","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.53650574","3.8968055","4.6100914","4.92653751","5.2573956","5.55075125","5.75054527","5.96959135","5.41204355","5.21090557","5.06260429","5.23956984","4.95043355","4.81986313","5.0088987","4.79725822","5.03966667","5.29360162","5.46252124","5.64211505","",
"Euro area","EMU","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.71312761034421","8.86580186680148","8.8701420087087","8.8551098203436","8.87075496734342","8.89302384838605","9.01268818399229","9.22572456581778","9.43324523013008","9.45601869789771","9.63366434296901","9.56154818012689","9.45431525160755","9.73837485575528","10.49292118626","10.4124246929663","10.3235676251387","10.4020238460328","10.4400907553081","10.4448111005752","",
"Eritrea","ERI","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.51436758","3.651953","4.19876947","4.29289972","4.66727129","4.05952853","3.58447729","3.70333498","3.22922249","2.94943156","2.82574579","3.22647448","3.29157461","3.68846683","3.30193937","3.24031896","3.06088999","2.97641275","3.0122195","3.33829318","",
"Spain","ESP","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.44459252","7.46292642","7.33387575","7.3192794","7.31629197","7.21475551","7.24157367","7.25041069","7.98814212","8.04569615","8.11898424","8.23258934","8.35762244","8.80496468","9.52140118","9.55574089","9.47835693","9.38884953","9.09572402","9.02988651","",
"Estonia","EST","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.31814012","6.57390761","6.1883056","5.55535904","5.85598582","5.2816118","4.85382046","4.8440834","4.91867721","5.13198242","5.01934025","5.01483256","5.15908483","6.05608547","6.93238582","6.24878186","5.8320426","6.36428657","6.48178731","6.37929421","",
"Ethiopia","ETH","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.95660882","2.9185687","3.200776","3.73468837","3.95586855","4.36421528","4.26258377","4.72945755","4.63536942","4.23459837","4.20170809","4.46674967","4.69032041","4.28069284","4.40929621","6.86140983","6.54770287","5.76934846","5.19220468","4.88431325","",
